NumOfProducts,EngagementTier,count,churn_rate,avg_balance,avg_salary
1,Low,1336,36.30239520958084,99458.36122005989,101775.84479041916
1,Medium,2612,28.292496171516078,97856.49195252679,99204.0344295559
1,High,1136,16.285211267605636,99084.66780809859,97446.96061619719
2,Low,376,10.106382978723403,50865.19781914893,93148.27425531913
2,Medium,2268,9.347442680776014,53662.76592592593,102276.66810405643
2,High,1946,5.0359712230215825,49996.306156217885,99736.64155704009
3,Low,8,100.0,64001.6025,120433.49
3,Medium,149,86.57718120805369,79550.84624161074,102184.08657718121
3,High,109,76.14678899082568,70704.82926605504,106052.53128440367
4,Low,2,100.0,141369.585,96655.015
4,Medium,29,100.0,91691.80275862069,105397.02068965518
4,High,29,100.0,92489.19482758621,104689.64724137931
